MAKE IT BETTER [GSP],, 3
MAKE IT BETTER [BSP],, 7
MAKE IT BETTER [DSP],, 9
MAKE IT BETTER [ESP],, 12
MAKE IT BETTER [BDP],, 7
MAKE IT BETTER [DDP],, 9
MAKE IT BETTER [EDP],, 11
PARANOiA [GSP],, 4
PARANOiA [BSP],, 8
PARANOiA [DSP],, 9
PARANOiA [ESP],, 11
PARANOiA [BDP],, 8
PARANOiA [DDP],, 13
PARANOiA [EDP],, 11
TRIP MACHINE [GSP],, 3
TRIP MACHINE [BSP],, 8
TRIP MACHINE [DSP],, 9
TRIP MACHINE [ESP],, 10
TRIP MACHINE [BDP],, 9
TRIP MACHINE [DDP],, 10
TRIP MACHINE [EDP],, 10
AM-3P [GSP],, 3
AM-3P [BSP],, 7
AM-3P [DSP],, 8
AM-3P [ESP],, 11
AM-3P [BDP],, 8
AM-3P [DDP],, 9
AM-3P [EDP],, 10
BRILLIANT 2U [GSP],, 3
BRILLIANT 2U [BSP],, 6
BRILLIANT 2U [DSP],, 6
BRILLIANT 2U [ESP],, 10
BRILLIANT 2U [CSP],, 10
BRILLIANT 2U [BDP],, 6
BRILLIANT 2U [DDP],, 7
BRILLIANT 2U [EDP],, 9
BRILLIANT 2U [CDP],, 10
BRILLIANT 2U (Orchestra Groove) [GSP],, 4
BRILLIANT 2U (Orchestra Groove) [BSP],, 6
BRILLIANT 2U (Orchestra Groove) [DSP],, 8
BRILLIANT 2U (Orchestra Groove) [ESP],, 9
BRILLIANT 2U (Orchestra Groove) [CSP],, 12
BRILLIANT 2U (Orchestra Groove) [BDP],, 6
BRILLIANT 2U (Orchestra Groove) [DDP],, 8
BRILLIANT 2U (Orchestra Groove) [EDP],, 9
BRILLIANT 2U (Orchestra Groove) [CDP],, 12
E-motion [GSP],, 2
E-motion [BSP],, 5
E-motion [DSP],, 6
E-motion [ESP],, 8
E-motion [BDP],, 6
E-motion [DDP],, 8
E-motion [EDP],, 11
GENOM SCREAMS [GSP],, 3
GENOM SCREAMS [BSP],, 6
GENOM SCREAMS [DSP],, 8
GENOM SCREAMS [ESP],, 11
GENOM SCREAMS [BDP],, 9
GENOM SCREAMS [DDP],, 11
