0BDP,MAKE IT BETTER [BDP],BDP,7
0DDP,MAKE IT BETTER [DDP],DDP,9
0EDP,MAKE IT BETTER [EDP],EDP,11
1BDP,PARANOiA [BDP],BDP,8
1DDP,PARANOiA [DDP],DDP,13
1EDP,PARANOiA [EDP],EDP,11
2BDP,TRIP MACHINE [BDP],BDP,9
2DDP,TRIP MACHINE [DDP],DDP,10
2EDP,TRIP MACHINE [EDP],EDP,10
3BDP,AM-3P [BDP],BDP,8
3DDP,AM-3P [DDP],DDP,9
3EDP,AM-3P [EDP],EDP,10
4BDP,BRILLIANT 2U [BDP],BDP,6
4DDP,BRILLIANT 2U [DDP],DDP,7
4EDP,BRILLIANT 2U [EDP],EDP,9
4CDP,BRILLIANT 2U [CDP],CDP,10
5BDP,BRILLIANT 2U (Orchestra Groove) [BDP],BDP,6
5DDP,BRILLIANT 2U (Orchestra Groove) [DDP],DDP,8
5EDP,BRILLIANT 2U (Orchestra Groove) [EDP],EDP,9
5CDP,BRILLIANT 2U (Orchestra Groove) [CDP],CDP,12
6BDP,E-motion [BDP],BDP,6
6DDP,E-motion [DDP],DDP,8
6EDP,E-motion [EDP],EDP,11
7BDP,GENOM SCREAMS [BDP],BDP,9
7DDP,GENOM SCREAMS [DDP],DDP,11
7EDP,GENOM SCREAMS [EDP],EDP,12
8BDP,KEEP ON MOVIN' [BDP],BDP,5
8DDP,KEEP ON MOVIN' [DDP],DDP,9
8EDP,KEEP ON MOVIN' [EDP],EDP,10
9BDP,PARANOiA KCET ~clean mix~ [BDP],BDP,8
9DDP,PARANOiA KCET ~clean mix~ [DDP],DDP,10
9EDP,PARANOiA KCET ~clean mix~ [EDP],EDP,10
9CDP,PARANOiA KCET ~clean mix~ [CDP],CDP,15
10BDP,PARANOiA MAX ~DIRTY MIX~ [BDP],BDP,10
10DDP,PARANOiA MAX ~DIRTY MIX~ [DDP],DDP,12
10EDP,PARANOiA MAX ~DIRTY MIX~ [EDP],EDP,11
11BDP,PUT YOUR FAITH IN ME [BDP],BDP,6
11DDP,PUT YOUR FAITH IN ME [DDP],DDP,8
11EDP,PUT YOUR FAITH IN ME [EDP],EDP,8
12BDP,SP-TRIP MACHINE ~JUNGLE MIX~ [BDP],BDP,8
12DDP,SP-TRIP MACHINE ~JUNGLE MIX~ [DDP],DDP,9
12EDP,SP-TRIP MACHINE ~JUNGLE MIX~ [EDP],EDP,10
13BDP,AFRONOVA [BDP],BDP,8
13DDP,AFRONOVA [DDP],DDP,9
13EDP,AFRONOVA [EDP],EDP,13
14BDP,AFTER THE GAME OF LOVE [BDP],BDP,5
14DDP,AFTER THE GAME OF LOVE [DDP],DDP,6
14EDP,AFTER THE GAME OF LOVE [EDP],EDP,8
15BDP,CUTIE CHASER [BDP],BDP,5
15DDP,CUTIE CHASER [DDP],DDP,7
15EDP,CUTIE CHASER [EDP],EDP,10
16BDP,DEAD END [BDP],BDP,8
16DDP,DEAD END [DDP],DDP,9
16EDP,DEAD END [EDP],EDP,13
17BDP,DROP THE BOMB [BDP],BDP,5
17DDP,DROP THE BOMB [DDP],DDP,8
17EDP,DROP THE BOMB [EDP],EDP,10
18BDP,DYNAMITE RAVE [BDP],BDP,6
18DDP,DYNAMITE RAVE [DDP],DDP,7
18EDP,DYNAMITE RAVE [EDP],EDP,11
18CDP,DYNAMITE RAVE [CDP],CDP,12
19BDP,GRADIUSIC CYBER ~AMD G5 MIX~ [BDP],BDP,9
