0GSP,MAKE IT BETTER [GSP],GSP,3
0BSP,MAKE IT BETTER [BSP],BSP,7
0DSP,MAKE IT BETTER [DSP],DSP,9
0ESP,MAKE IT BETTER [ESP],ESP,12
0BDP,MAKE IT BETTER [BDP],BDP,7
0DDP,MAKE IT BETTER [DDP],DDP,9
0EDP,MAKE IT BETTER [EDP],EDP,11
1GSP,PARANOiA [GSP],GSP,4
1BSP,PARANOiA [BSP],BSP,8
1DSP,PARANOiA [DSP],DSP,9
1ESP,PARANOiA [ESP],ESP,11
1BDP,PARANOiA [BDP],BDP,8
1DDP,PARANOiA [DDP],DDP,13
1EDP,PARANOiA [EDP],EDP,11
2GSP,TRIP MACHINE [GSP],GSP,3
2BSP,TRIP MACHINE [BSP],BSP,8
2DSP,TRIP MACHINE [DSP],DSP,9
2ESP,TRIP MACHINE [ESP],ESP,10
2BDP,TRIP MACHINE [BDP],BDP,9
2DDP,TRIP MACHINE [DDP],DDP,10
2EDP,TRIP MACHINE [EDP],EDP,10
3GSP,AM-3P [GSP],GSP,3
3BSP,AM-3P [BSP],BSP,7
3DSP,AM-3P [DSP],DSP,8
3ESP,AM-3P [ESP],ESP,11
3BDP,AM-3P [BDP],BDP,8
3DDP,AM-3P [DDP],DDP,9
3EDP,AM-3P [EDP],EDP,10
4GSP,BRILLIANT 2U [GSP],GSP,3
4BSP,BRILLIANT 2U [BSP],BSP,6
4DSP,BRILLIANT 2U [DSP],DSP,6
4ESP,BRILLIANT 2U [ESP],ESP,10
4CSP,BRILLIANT 2U [CSP],CSP,10
4BDP,BRILLIANT 2U [BDP],BDP,6
4DDP,BRILLIANT 2U [DDP],DDP,7
4EDP,BRILLIANT 2U [EDP],EDP,9
4CDP,BRILLIANT 2U [CDP],CDP,10
5GSP,BRILLIANT 2U (Orchestra Groove) [GSP],GSP,4
5BSP,BRILLIANT 2U (Orchestra Groove) [BSP],BSP,6
5DSP,BRILLIANT 2U (Orchestra Groove) [DSP],DSP,8
5ESP,BRILLIANT 2U (Orchestra Groove) [ESP],ESP,9
5CSP,BRILLIANT 2U (Orchestra Groove) [CSP],CSP,12
5BDP,BRILLIANT 2U (Orchestra Groove) [BDP],BDP,6
5DDP,BRILLIANT 2U (Orchestra Groove) [DDP],DDP,8
5EDP,BRILLIANT 2U (Orchestra Groove) [EDP],EDP,9
5CDP,BRILLIANT 2U (Orchestra Groove) [CDP],CDP,12
6GSP,E-motion [GSP],GSP,2
6BSP,E-motion [BSP],BSP,5
6DSP,E-motion [DSP],DSP,6
6ESP,E-motion [ESP],ESP,8
6BDP,E-motion [BDP],BDP,6
6DDP,E-motion [DDP],DDP,8
6EDP,E-motion [EDP],EDP,11
7GSP,GENOM SCREAMS [GSP],GSP,3
7BSP,GENOM SCREAMS [BSP],BSP,6
7DSP,GENOM SCREAMS [DSP],DSP,8
7ESP,GENOM SCREAMS [ESP],ESP,11
7BDP,GENOM SCREAMS [BDP],BDP,9
7DDP,GENOM SCREAMS [DDP],DDP,11
