0GSP,MAKE IT BETTER [GSP],GSP,3
0BSP,MAKE IT BETTER [BSP],BSP,7
0DSP,MAKE IT BETTER [DSP],DSP,9
0ESP,MAKE IT BETTER [ESP],ESP,12
1GSP,PARANOiA [GSP],GSP,4
1BSP,PARANOiA [BSP],BSP,8
1DSP,PARANOiA [DSP],DSP,9
1ESP,PARANOiA [ESP],ESP,11
2GSP,TRIP MACHINE [GSP],GSP,3
2BSP,TRIP MACHINE [BSP],BSP,8
2DSP,TRIP MACHINE [DSP],DSP,9
2ESP,TRIP MACHINE [ESP],ESP,10
3GSP,AM-3P [GSP],GSP,3
3BSP,AM-3P [BSP],BSP,7
3DSP,AM-3P [DSP],DSP,8
3ESP,AM-3P [ESP],ESP,11
4GSP,BRILLIANT 2U [GSP],GSP,3
4BSP,BRILLIANT 2U [BSP],BSP,6
4DSP,BRILLIANT 2U [DSP],DSP,6
4ESP,BRILLIANT 2U [ESP],ESP,10
4CSP,BRILLIANT 2U [CSP],CSP,10
5GSP,BRILLIANT 2U (Orchestra Groove) [GSP],GSP,4
5BSP,BRILLIANT 2U (Orchestra Groove) [BSP],BSP,6
5DSP,BRILLIANT 2U (Orchestra Groove) [DSP],DSP,8
5ESP,BRILLIANT 2U (Orchestra Groove) [ESP],ESP,9
5CSP,BRILLIANT 2U (Orchestra Groove) [CSP],CSP,12
6GSP,E-motion [GSP],GSP,2
6BSP,E-motion [BSP],BSP,5
6DSP,E-motion [DSP],DSP,6
6ESP,E-motion [ESP],ESP,8
7GSP,GENOM SCREAMS [GSP],GSP,3
7BSP,GENOM SCREAMS [BSP],BSP,6
7DSP,GENOM SCREAMS [DSP],DSP,8
7ESP,GENOM SCREAMS [ESP],ESP,11
8GSP,KEEP ON MOVIN' [GSP],GSP,4
8BSP,KEEP ON MOVIN' [BSP],BSP,5
8DSP,KEEP ON MOVIN' [DSP],DSP,7
8ESP,KEEP ON MOVIN' [ESP],ESP,9
9GSP,PARANOiA KCET ~clean mix~ [GSP],GSP,4
9BSP,PARANOiA KCET ~clean mix~ [BSP],BSP,8
9DSP,PARANOiA KCET ~clean mix~ [DSP],DSP,9
9ESP,PARANOiA KCET ~clean mix~ [ESP],ESP,11
9CSP,PARANOiA KCET ~clean mix~ [CSP],CSP,15
10GSP,PARANOiA MAX ~DIRTY MIX~ [GSP],GSP,5
10BSP,PARANOiA MAX ~DIRTY MIX~ [BSP],BSP,9
10DSP,PARANOiA MAX ~DIRTY MIX~ [DSP],DSP,10
10ESP,PARANOiA MAX ~DIRTY MIX~ [ESP],ESP,12
11GSP,PUT YOUR FAITH IN ME [GSP],GSP,3
11BSP,PUT YOUR FAITH IN ME [BSP],BSP,5
11DSP,PUT YOUR FAITH IN ME [DSP],DSP,6
11ESP,PUT YOUR FAITH IN ME [ESP],ESP,9
12GSP,SP-TRIP MACHINE ~JUNGLE MIX~ [GSP],GSP,4
12BSP,SP-TRIP MACHINE ~JUNGLE MIX~ [BSP],BSP,8
